ts,1492,1491,1493,diff_FlowValve008_1492 - 1491,diff_FlowValve008_1492 - 1493
2020-11-10 00:24:00,88.76,679.3562499999999,685.2411764705884,-590.5962499999999,-596.4811764705884
2020-11-10 00:24:30,75.61666666666666,613.675,662.8944444444446,-538.0583333333333,-587.2777777777779
2020-11-10 00:25:00,75.06666666666666,651.9312499999999,695.9222222222221,-576.8645833333333,-620.8555555555554
2020-11-10 00:25:30,67.62,729.6882352941176,734.7111111111112,-662.0682352941176,-667.0911111111112
2020-11-10 00:26:00,84.625,726.8111111111111,741.9117647058824,-642.1861111111111,-657.2867647058824
2020-11-10 00:33:00,75.18333333333334,714.15,689.1149999999999,-638.9666666666667,-613.9316666666666
2020-11-10 06:06:30,840.2076923076925,845.0615384615386,162.95,-4.853846153846121,677.2576923076924
2020-11-10 19:32:30,704.0499999999998,711.0166666666665,0.0,-6.966666666666697,704.0499999999998
2020-11-10 19:33:00,704.0499999999998,711.0166666666665,0.0,-6.966666666666697,704.0499999999998
2020-11-10 19:33:30,704.0499999999998,711.0166666666665,0.0,-6.966666666666697,704.0499999999998
2020-11-10 19:34:00,704.0499999999998,711.0166666666665,0.0,-6.966666666666697,704.0499999999998
2020-11-10 19:34:30,704.0499999999998,711.0166666666665,0.0,-6.966666666666697,704.0499999999998
